"","Var_Type","n","nmiss","mean","std","var","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","ot_m1","ot_m2.99%","ot_m2.75%","IQR","UC1","LC1"
"AGE1","numeric","71047","1244","31.3751128175007","22.082194982242","487.623335233755","0","0","0","0","0","36","48","56","62","74","99","TRUE","TRUE","FALSE","48","97.6216977642268","-34.8714721292254"
"AGE2","numeric","71047","1244","21.1577152844434","23.9175855177852","572.050897000567","0","0","0","0","0","0","42","54","62","76","99","TRUE","TRUE","FALSE","42","92.9104718377989","-50.5950412689121"
"CHILDREN","numeric","71047","0","0.242388841189635","0.428531300620153","0.1836390756112","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.52798274305009","-1.04320506067082"
"CREDITA","numeric","71047","0","0.167663659267809","0.373569967857544","0.139554520885087","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.28837356284044","-0.953046244304824"
"CREDITAA","numeric","71047","0","0.370881247624812","0.483044130460199","0.233331631972049","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.82001363900541","-1.07825114375578"
"CREDITB","numeric","71047","0","0.164524891972919","0.370753808675085","0.137458386647081","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.27678631799817","-0.947736534052335"
"CREDITC","numeric","71047","0","0.104437907300801","0.305829931987253","0.093531947299328","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.02192770326256","-0.813051888660959"
"CREDITDE","numeric","71047","0","0.128478331245514","0.334624006446445","0.11197322569027","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.13235035058485","-0.875393688093822"
"CREDITGY","numeric","71047","0","0.0226469801680578","0.148776362380883","0.0221344060032879","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.468976067310708","-0.423682106974592"
"CREDITZ","numeric","71047","0","0.0413669824200881","0.1991389297844","0.039656313355676","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.638783771773287","-0.556049806933111"
"PRIZMRUR","numeric","71047","0","0.047743043337509","0.213223556552312","0.0454642850688169","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.687413712994445","-0.591927626319427"
"PRIZMUB","numeric","71047","0","0.321111376975805","0.466906766893568","0.218001928971004","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.72183167765651","-1.0796089237049"
"PRIZMTWN","numeric","71047","0","0.148422874998241","0.355521172665394","0.126395304213377","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.21498639299442","-0.91814064299794"
"REFURB","numeric","71047","0","0.139611806269089","0.346586267125337","0.120122040559875","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.1793706076451","-0.900146995106921"
"WEBCAP","numeric","71047","0","0.902810815375737","0.296217288555843","0.0877446820393754","0","0","0","1","1","1","1","1","1","1","1","TRUE","FALSE","TRUE","0","1.79146268104327","0.014158949708209"
"TRUCK","numeric","71047","0","0.187214097709967","0.390086043213161","0.1521671211097","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.35747222734945","-0.983044031929515"
"RV","numeric","71047","0","0.0811997691668895","0.273143582695392","0.0746074167676746","0","0","0","0","0","0","0","0","1","1","1","TRUE","FALSE","TRUE","0","0.900630517253067","-0.738230978919288"
"OCCPROF","numeric","71047","0","0.173898968288598","0.379025248711039","0.143660139160465","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.31097471442171","-0.963176777844518"
"OCCCLER","numeric","71047","0","0.0200571452700325","0.140196764739319","0.0196551328433719","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.440647439487989","-0.400533148947924"
"OCCCRFT","numeric","71047","0","0.0296423494306586","0.16959978010259","0.028764085410847","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.538441689738429","-0.479156990877112"
"OCCSTUD","numeric","71047","0","0.00757245203879122","0.0866903442547034","0.00751521578699899","0","0","0","0","0","0","0","0","0","0","1","TRUE","TRUE","TRUE","0","0.267643484802901","-0.252498580725319"
"OCCHMKR","numeric","71047","0","0.00315284248455248","0.0560619862864797","0.00314294630638544","0","0","0","0","0","0","0","0","0","0","1","TRUE","TRUE","TRUE","0","0.171338801343992","-0.165033116374887"
"OCCRET","numeric","71047","0","0.0145115205427393","0.119587363903973","0.0143011376055012","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.373273612254657","-0.344250571169178"
"OCCSELF","numeric","71047","0","0.01783326530325","0.13234608602323","0.0175154864856682","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.41487152337294","-0.37920499276644"
"OWNRENT","numeric","71047","0","0.331921122637128","0.470906160709872","0.221752612194512","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.74463960476674","-1.08079735949249"
"MARRYUN","numeric","71047","0","0.384815685391361","0.486555141552231","0.236735905770912","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.84448111004805","-1.07484973926533"
"MARRYYES","numeric","71047","0","0.365377848466508","0.481539344263212","0.231880140073444","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.80999588125614","-1.07924018432313"
"MARRYNO","numeric","71047","0","0.249806466142131","0.432903953999453","0.18740583338836","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.54851832814049","-1.04890539585623"
"MAILORD","numeric","71047","0","0.361971652568018","0.480574058798766","0.23095142599032","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.80369382896432","-1.07975052382828"
"MAILRES","numeric","71047","0","0.37720100778358","0.484689296463687","0.234923714106464","0","0","0","0","0","0","1","1","1","1","1","FALSE","FALSE","FALSE","1","1.83126889717464","-1.07686688160748"
"MAILFLAG","numeric","71047","0","0.014412994215097","0.119186659309643","0.014205459757393","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.371972972144027","-0.343146983713833"
"TRAVEL","numeric","71047","0","0.05748307458443","0.232764974401129","0.054179533307958","0","0","0","0","0","0","0","0","1","1","1","TRUE","FALSE","TRUE","0","0.755777997787816","-0.640811848618956"
"PCOWN","numeric","71047","0","0.18541247343308","0.388634550703241","0.15103681400031","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.3513161255428","-0.980491178676645"
"CREDITCD","numeric","71047","0","0.676425464833139","0.467843067807587","0.218877136095614","0","0","0","0","0","1","1","1","1","1","1","FALSE","FALSE","FALSE","1","2.0799546682559","-0.727103738589622"
